time,Ts_ext,Ts_int
65037.8,294.00169089870633,324.14430141693464
65210.8,294.2097663583741,324.15604819669267
65383.8,294.40820557545305,324.1686770287305
65556.8,294.606259391039,324.1813411384465
65729.7,294.8041987246506,324.19399792786794
65902.7,295.00225254023655,324.206662037584
66075.7,295.20030635582253,324.2193261473
66248.6,295.39786635138677,324.23199964124785
66421.6,295.5882892969492,324.2449997838784
66594.6,295.77871224251163,324.257999926509
66767.6,295.9636421576262,324.27121274172595
66940.5,296.1422374593443,324.28465903679864
67113.5,296.3209360550483,324.29811310879154
67286.5,296.49963465075234,324.3115671807844
67459.5,296.67833324645636,324.3250212527773
67632.4,296.85692854817444,324.33846754785
67805.4,297.03562714387846,324.3519216198428
67978.4,297.2143257395825,324.3653756918357
68151.4,297.38744629831575,323.3645175940922
68324.3,297.5481639902834,320.1270931561742
68400.0,297.61853026721775,318.70966672499804
68400.0,297.61853026721775,318.70966672499804
68497.3,297.70897463638175,316.88779629232357
68670.3,297.86978528248005,313.64849942847286
68843.2,298.0305029744477,310.41107499055516
69016.2,298.191313620546,307.1717781267045
69189.2,298.347365489304,305.0940683965458
69362.2,298.4962791920515,304.7587393669253
69535.1,298.64510681751415,304.42360416911373
69708.1,298.7800703771787,304.14951339435856
69881.1,298.91193481943424,303.88902710671323
70054.1,299.0437992616898,303.62854081906784
70227.0,299.1755874817244,303.368205101531
70400.0,299.30745192397995,303.10771881388564
70573.0,299.43931636623546,302.84723252624025
70745.9,299.57110458627005,302.5868968087034
70918.9,299.7029690285256,302.326410521058
71091.9,299.8189379573305,302.11451872044546
71264.9,299.92677446586674,301.92748870190195
71437.8,300.0345486411611,301.74056679319574
71610.8,300.14238514969736,301.55353677465223
71783.8,300.25022165823367,301.3665067561087
71956.8,300.3580581667699,301.1794767375652
72129.7,300.45411812648973,301.017754229017
72302.7,300.54632965974156,300.86433636334414
72475.7,300.6351169375804,300.7163042257338
72648.6,300.70696669928566,300.59491655345244
72821.6,300.77885801666565,300.47345867430454
72994.6,300.85074933404564,300.3520007951566
73167.6,300.92264065142564,300.2305429160087
